"Variable","Criticality","Constant"
record_id,critical,PEOPLE
active_y,critical,PEOPLE
inactive_d,low,PEOPLE
user_surveyheader,low,PEOPLE
user_formheader,low,PEOPLE
firstname,low,PEOPLE
lastname,low,PEOPLE
email,critical,PEOPLE
person_region,critical,PEOPLE
useraccess_header,low,PEOPLE
harmonist_regperm,critical,PEOPLE
admin_notes,low,PEOPLE
requestor_name,low,PEOPLE
userrequest_detail,low,PEOPLE
blockedfields,low,PEOPLE
userfields_txt,low,PEOPLE
pubname,low,PEOPLE
degrees,low,PEOPLE
institution,low,PEOPLE
settings_txt,low,PEOPLE
pendingpanel_y,low,PEOPLE
stayrequest_y,low,PEOPLE
securedata_txt,low,PEOPLE
allowgetdata_y,medium,PEOPLE
redcap_name,critical,PEOPLE
harmonist_txt,low,PEOPLE
harmonistadmin_y,critical,PEOPLE
harmonist_perms,critical,PEOPLE
access_token,critical,PEOPLE
token_expiration_d,critical,PEOPLE
first_ever_login_d,low,PEOPLE
last_requested_token_d,critical,PEOPLE
record_id,critical,SETTINGS
settingsintro_txt,low,SETTINGS
record1_txt,low,SETTINGS
hub_name,low,SETTINGS
hub_name_long,low,SETTINGS
hub_name_title,low,SETTINGS
hub_name_req_email,medium,SETTINGS
hub_contact_email,critical,SETTINGS
hub_organization,low,SETTINGS
hub_logo,low,SETTINGS
hub_logo_pdf,low,SETTINGS
hub_logo_favicon,low,SETTINGS
home_number_intro,low,SETTINGS
home_number_announcements,low,SETTINGS
home_number_deadlines,low,SETTINGS
home_number_quicklinks,low,SETTINGS
home_number_recentactivity,low,SETTINGS
accesslink_info,low,SETTINGS
accesslink_sender_email,critical,SETTINGS
accesslink_sender_name,low,SETTINGS
accesslink_dur,critical,SETTINGS
pastrequest_dur,critical,SETTINGS
vote_visibility,low,SETTINGS
home_number_txt,low,SETTINGS
home_quicklinks_expand,low,SETTINGS
vote_grid,low,SETTINGS
deactivate_projects_opt,low,SETTINGS
deactivate_projects,critical,SETTINGS
pastlastreview_dur,critical,SETTINGS
