"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,research_group_information,,text,"Record ID",,,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
region_name,research_group_information,"<div class=""rich-text-field-label""><p>Research Group Name<br /><span style=""font-weight: normal;"">""Research Groups"" is a generic term used to refer to the universities, study sites, countries, regions, or other organizations that make up a Consortium. <em>Complete one copy of this REDCap form for each Research Group participating in the Consortium.</em></span></p></div>",text,"Research Group primary name (short name)
<div style=""font-weight:lighter;font-style:italic"">(e.g. CCASAnet, NA-ACCORD)</div>",,,,,,,,y,,,,,
region_full_name,research_group_information,,text,"Research Group full name 
<div style=""font-weight:lighter;font-style:italic"">Write out long name, no abbreviations (e.g. Caribbean, Central and South America network for HIV Epidemiology, North American AIDS Cohort Collaboration on Research and Design)</div>",,,,,,,,y,,,,,
region_code,research_group_information,,text,"Research Group short code
<div style=""font-weight:lighter;font-style:italic"">A short code for each research group is needed for Hub display purposes. (e.g. CN, NA)</div>",,,,,,,,y,,,,," @HARMONIST-VAR-MEDIUM"
activeregion_y,research_group_information,"Research Group Hub Settings ",yesno,"Is this an Active Research Group in the Consortium?
<div style=""font-weight:lighter;font-style:italic"">(Use this to indicate current research groups vs. those that have left or been dropped from the Consortium.)</div>",,,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
showregion_y,research_group_information,,yesno,"Should this Research Group be listed in the main interface?
<div style=""font-weight:lighter;font-style:italic"">(This can be used to exclude groups such as a Testing group from the Consortium Metrics.)</div>",,,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
voteregion_y,research_group_information,,yesno,"Will this Research Group participate in voting?
<div style=""font-weight:lighter;font-style:italic"">Only these Research Groups will appear on the voting dashboard. Active groups that do not participate in voting could include a funding agency group, or a Hub Testing group.</div>",,,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
voteregion_order,research_group_information,,text,"What order should this Research Group appear in on the voting dashboard? 
<div style=""font-weight:lighter;font-style:italic"">Use numbers (decimals ok) to define the order of Research Groups on the main voting grid. You can use this feature to override the default alphabetical order and place a certain group at the beginning or end.</div>",,,number,,,,,,,,,,
region_tbl_option,research_group_map_settings,"<div class=""rich-text-field-label""><p>Display Settings for Research Group Map<br /><span style=""font-weight: normal;""><em>Map data is stored separately in the Site Census project</em></span></p></div>",radio,"What map should users from this Research Group see in the Site Census page?","0, This Research Group's geographic area (defined below) | 1, World Map",,,,,,,,,,,,
region_latitude,research_group_map_settings,,text,"<div class=""rich-text-field-label""><p>Latitude<br /><span style=""font-weight: normal;"">For centering display of map</span></p></div>",,,number,,,,"[region_tbl_option] = '0'",,,,,,
region_longitude,research_group_map_settings,,text,"<div class=""rich-text-field-label""><p>Longitude<br /><span style=""font-weight: normal;"">For centering display of map</span></p></div>",,,number,,,,"[region_tbl_option] = '0'",,,,,,
region_zoom,research_group_map_settings,,text,"<div class=""rich-text-field-label""><p>Zoom level<br /><span style=""font-weight: normal;""><a href=""https://wiki.openstreetmap.org/wiki/Zoom_levels"" target=""_blank"" rel=""noopener"">See definitions</a></span></p></div>",,,,,,,"[region_tbl_option] = '0'",,,,,," @DEFAULT='2'"
region_color,research_group_map_settings,,text,"<div class=""rich-text-field-label""><p>Map color<br /><span style=""font-weight: normal;""><a href=""https://htmlcolorcodes.com/"" target=""_blank"" rel=""noopener"">Hexadecimal color code</a>, beginning with #</span></p></div>",,,,,,,,,,,,,
region_legend,research_group_map_settings,,text,"Text to show in Map Legend for this Research Group",,,,,,,,,,,,,
