"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,data_specification,,text,"Record ID",,,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
sop_active,data_specification,,radio,"<div style=""color:black; text-align:center; border: 1px #d35400; background-color: #e67e22; padding:6px; max-width:800px;"">Active Data Request?</div>","1, Yes | 0, No",,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
sop_status,data_specification,,dropdown,"<div class=""green"">Data Request Status</div>","0, Draft | 1, Final | 2, Template",,,,,,,,,,,," @HARMONIST-VAR-MEDIUM"
sop_visibility,data_specification,,dropdown,"Data Request Visibility (for drafts)","1, Private | 2, Public",,,,,,,,,,,," @HARMONIST-VAR-MEDIUM"
sop_hubuser,data_specification,,sql,"Person ID of Hub User who built the Data Request
<div style=""font-weight:lighter;font-style:italic"">Autopopulated by Hub Data Request Builder</div>","select a.record, concat( max(if(a.field_name = 'firstname', a.value, '')), ' ', max(if(a.field_name = 'lastname', a.value, '')), ' | ', max(if(a.field_name = 'email', a.value, ''))) as value from redcap_data a where a.project_id='' group by a.record order by value",,,,,,,,,,,," @HARMONIST-VAR-CRITICAL"
sop_name,data_specification,,text,"Name of Data Request",,,,,,,,,,,,," @HARMONIST-VAR-MEDIUM"
sop_creator,data_specification,"Data Request Contact People",sql,"Research Contact for Data Request
<div style=""font-weight:lighter;font-style:italic"">Person ID in H5 project. Autopopulated by Hub Data Request Builder</div>","select a.record, concat( max(if(a.field_name = 'firstname', a.value, '')), ' ', max(if(a.field_name = 'lastname', a.value, '')), ' | ', max(if(a.field_name = 'email', a.value, ''))) as value from redcap_data a where a.project_id='' group by a.record order by value",,autocomplete,,,,,,,,,,
sop_creator_org,data_specification,,text,"Institution for Research Contact #1
<div style=""font-weight:lighter;font-style:italic"">Autopopulated by Hub Data Request Builder</div>",,,,,,,,,,,,,
sop_creator2,data_specification,,sql,"(Optional) Research Contact #2 for Data Request 
<div style=""font-weight:lighter;font-style:italic"">Person ID in H5 project. Autopopulated by Hub Data Request Builder</div>","select a.record, concat( max(if(a.field_name = 'firstname', a.value, '')), ' ', max(if(a.field_name = 'lastname', a.value, '')), ' | ', max(if(a.field_name = 'email', a.value, ''))) as value from redcap_data a where a.project_id='' group by a.record order by value",,autocomplete,,,,,,,,,,
sop_creator2_org,data_specification,,text,"(Optional) Institution for Research Contact #2
<div style=""font-weight:lighter;font-style:italic"">Autopopulated by Hub Data Request Builder</div>",,,,,,,,,,,,,
